"P","G","Ca","L","offshore_conflict_payoff","surf_conflict_payoff","surf_accept_payoff","fight_minus_accept","offshore_implements","surf_prefers_fight"
0.1,0,0,1,5,9.9,9,0.9,TRUE,TRUE
0.1,0,0,2,5,9.8,8,1.8,TRUE,TRUE
0.1,0,0,3,5,9.7,7,2.7,TRUE,TRUE
0.1,0,0,4,5,9.6,6,3.6,TRUE,TRUE
0.1,0,0,5,5,9.5,5,4.5,TRUE,TRUE
0.1,0,0,6,5,9.4,4,5.4,TRUE,TRUE
0.1,0,1,1,5,8.9,9,-0.0999999999999996,TRUE,FALSE
0.1,0,1,2,5,8.8,8,0.799999999999999,TRUE,TRUE
0.1,0,1,3,5,8.7,7,1.7,TRUE,TRUE
0.1,0,1,4,5,8.6,6,2.6,TRUE,TRUE
0.1,0,1,5,5,8.5,5,3.5,TRUE,TRUE
0.1,0,1,6,5,8.4,4,4.4,TRUE,TRUE
0.1,0,2,1,5,7.9,9,-1.1,TRUE,FALSE
0.1,0,2,2,5,7.8,8,-0.199999999999999,TRUE,FALSE
0.1,0,2,3,5,7.7,7,0.7,TRUE,TRUE
0.1,0,2,4,5,7.6,6,1.6,TRUE,TRUE
0.1,0,2,5,5,7.5,5,2.5,TRUE,TRUE
0.1,0,2,6,5,7.4,4,3.4,TRUE,TRUE
0.1,0,3,1,5,6.9,9,-2.1,TRUE,FALSE
0.1,0,3,2,5,6.8,8,-1.2,TRUE,FALSE
0.1,0,3,3,5,6.7,7,-0.3,TRUE,FALSE
0.1,0,3,4,5,6.6,6,0.6,TRUE,TRUE
0.1,0,3,5,5,6.5,5,1.5,TRUE,TRUE
0.1,0,3,6,5,6.4,4,2.4,TRUE,TRUE
0.1,0,4,1,5,5.9,9,-3.1,TRUE,FALSE
0.1,0,4,2,5,5.8,8,-2.2,TRUE,FALSE
0.1,0,4,3,5,5.7,7,-1.3,TRUE,FALSE
0.1,0,4,4,5,5.6,6,-0.399999999999999,TRUE,FALSE
0.1,0,4,5,5,5.5,5,0.5,TRUE,TRUE
0.1,0,4,6,5,5.4,4,1.4,TRUE,TRUE
0.1,0,5,1,5,4.9,9,-4.1,TRUE,FALSE
0.1,0,5,2,5,4.8,8,-3.2,TRUE,FALSE
0.1,0,5,3,5,4.7,7,-2.3,TRUE,FALSE
0.1,0,5,4,5,4.6,6,-1.4,TRUE,FALSE
0.1,0,5,5,5,4.5,5,-0.5,TRUE,FALSE
0.1,0,5,6,5,4.4,4,0.4,TRUE,TRUE
0.1,0,6,1,5,3.9,9,-5.1,TRUE,FALSE
0.1,0,6,2,5,3.8,8,-4.2,TRUE,FALSE
0.1,0,6,3,5,3.7,7,-3.3,TRUE,FALSE
0.1,0,6,4,5,3.6,6,-2.4,TRUE,FALSE
0.1,0,6,5,5,3.5,5,-1.5,TRUE,FALSE
0.1,0,6,6,5,3.4,4,-0.6,TRUE,FALSE
0.1,1,0,1,4.9,10,9,1,TRUE,TRUE
0.1,1,0,2,4.9,9.9,8,1.9,TRUE,TRUE
0.1,1,0,3,4.9,9.8,7,2.8,TRUE,TRUE
0.1,1,0,4,4.9,9.7,6,3.7,TRUE,TRUE
0.1,1,0,5,4.9,9.6,5,4.6,TRUE,TRUE
0.1,1,0,6,4.9,9.5,4,5.5,TRUE,TRUE
0.1,1,1,1,4.9,9,9,0,TRUE,TRUE
0.1,1,1,2,4.9,8.9,8,0.9,TRUE,TRUE
0.1,1,1,3,4.9,8.8,7,1.8,TRUE,TRUE
0.1,1,1,4,4.9,8.7,6,2.7,TRUE,TRUE
0.1,1,1,5,4.9,8.6,5,3.6,TRUE,TRUE
0.1,1,1,6,4.9,8.5,4,4.5,TRUE,TRUE
0.1,1,2,1,4.9,8,9,-1,TRUE,FALSE
0.1,1,2,2,4.9,7.9,8,-0.0999999999999996,TRUE,FALSE
0.1,1,2,3,4.9,7.8,7,0.800000000000001,TRUE,TRUE
0.1,1,2,4,4.9,7.7,6,1.7,TRUE,TRUE
0.1,1,2,5,4.9,7.6,5,2.6,TRUE,TRUE
0.1,1,2,6,4.9,7.5,4,3.5,TRUE,TRUE
0.1,1,3,1,4.9,7,9,-2,TRUE,FALSE
0.1,1,3,2,4.9,6.9,8,-1.1,TRUE,FALSE
0.1,1,3,3,4.9,6.8,7,-0.2,TRUE,FALSE
0.1,1,3,4,4.9,6.7,6,0.7,TRUE,TRUE
0.1,1,3,5,4.9,6.6,5,1.6,TRUE,TRUE
0.1,1,3,6,4.9,6.5,4,2.5,TRUE,TRUE
0.1,1,4,1,4.9,6,9,-3,TRUE,FALSE
0.1,1,4,2,4.9,5.9,8,-2.1,TRUE,FALSE
0.1,1,4,3,4.9,5.8,7,-1.2,TRUE,FALSE
0.1,1,4,4,4.9,5.7,6,-0.3,TRUE,FALSE
0.1,1,4,5,4.9,5.6,5,0.600000000000001,TRUE,TRUE
0.1,1,4,6,4.9,5.5,4,1.5,TRUE,TRUE
0.1,1,5,1,4.9,5,9,-4,TRUE,FALSE
0.1,1,5,2,4.9,4.9,8,-3.1,TRUE,FALSE
0.1,1,5,3,4.9,4.8,7,-2.2,TRUE,FALSE
0.1,1,5,4,4.9,4.7,6,-1.3,TRUE,FALSE
0.1,1,5,5,4.9,4.6,5,-0.4,TRUE,FALSE
0.1,1,5,6,4.9,4.5,4,0.5,TRUE,TRUE
0.1,1,6,1,4.9,4,9,-5,TRUE,FALSE
