"P","G","share_surf_prefers_fight","share_offshore_implements"
0.1,0,0.5,1
0.1,1,0.523809523809524,1
0.1,2,0.547619047619048,1
0.1,3,0.571428571428571,1
0.1,4,0.595238095238095,1
0.1,5,0.619047619047619,1
0.1,6,0.642857142857143,1
0.1,7,0.642857142857143,1
0.1,8,0.642857142857143,1
0.2,0,0.476190476190476,1
0.2,1,0.523809523809524,1
0.2,2,0.547619047619048,1
0.2,3,0.571428571428571,1
0.2,4,0.595238095238095,1
0.2,5,0.619047619047619,1
0.2,6,0.666666666666667,1
0.2,7,0.69047619047619,1
0.2,8,0.714285714285714,1
0.3,0,0.428571428571429,1
0.3,1,0.476190476190476,1
0.3,2,0.523809523809524,1
0.3,3,0.571428571428571,1
0.3,4,0.595238095238095,1
0.3,5,0.642857142857143,1
0.3,6,0.69047619047619,1
0.3,7,0.714285714285714,1
0.3,8,0.761904761904762,1
0.4,0,0.380952380952381,1
0.4,1,0.428571428571429,1
0.4,2,0.5,1
0.4,3,0.547619047619048,1
0.4,4,0.619047619047619,1
0.4,5,0.666666666666667,1
0.4,6,0.738095238095238,1
0.4,7,0.785714285714286,1
0.4,8,0.833333333333333,1
0.5,0,0.357142857142857,1
0.5,1,0.428571428571429,1
0.5,2,0.5,1
0.5,3,0.571428571428571,1
0.5,4,0.642857142857143,1
0.5,5,0.714285714285714,1
0.5,6,0.785714285714286,1
0.5,7,0.857142857142857,1
0.5,8,0.904761904761905,1
0.6,0,0.285714285714286,1
0.6,1,0.380952380952381,1
0.6,2,0.452380952380952,1
0.6,3,0.547619047619048,1
0.6,4,0.619047619047619,1
0.6,5,0.714285714285714,1
0.6,6,0.80952380952381,1
0.6,7,0.880952380952381,1
0.6,8,0.952380952380952,1
0.7,0,0.214285714285714,1
0.7,1,0.333333333333333,1
0.7,2,0.428571428571429,1
0.7,3,0.523809523809524,1
0.7,4,0.642857142857143,1
0.7,5,0.738095238095238,1
0.7,6,0.833333333333333,1
0.7,7,0.928571428571429,1
0.7,8,0.976190476190476,1
0.8,0,0.19047619047619,1
0.8,1,0.30952380952381,1
0.8,2,0.404761904761905,1
0.8,3,0.523809523809524,1
0.8,4,0.642857142857143,1
0.8,5,0.761904761904762,1
0.8,6,0.880952380952381,1
0.8,7,0.976190476190476,1
0.8,8,1,1
0.9,0,0.142857142857143,1
0.9,1,0.285714285714286,1
0.9,2,0.404761904761905,1
0.9,3,0.523809523809524,1
0.9,4,0.642857142857143,1
0.9,5,0.761904761904762,1
0.9,6,0.880952380952381,1
0.9,7,1,1
0.9,8,1,1
