"year","value","indicator"
1030,1030,"Accommodation capacity"
1359,1359,"Accommodation capacity"
1616,1616,"Accommodation capacity"
1774,1774,"Accommodation capacity"
1995,1995,"Accommodation capacity"
2205,2205,"Accommodation capacity"
1560,1560,"Accommodation capacity"
1979,1979,"Accommodation capacity"
1616,177898,"Overnight stays"
1774,185158,"Overnight stays"
1995,192608,"Overnight stays"
2205,217910,"Overnight stays"
1560,110202,"Overnight stays"
1979,148084,"Overnight stays"
1616,86633,"Guests"
1774,86414,"Guests"
1995,94026,"Guests"
2205,102566,"Guests"
1560,52816,"Guests"
1979,68257,"Guests"
1616,8145000,"Tourism income"
1774,8859000,"Tourism income"
1995,11573000,"Tourism income"
2205,12474000,"Tourism income"
1560,6106000,"Tourism income"
1979,7183000,"Tourism income"
