P,G,share_surf_prefers_fight,share_offshore_implements
0.1,0.0,0.43478260869565216,1.0
0.1,1.0,0.463768115942029,1.0
0.1,2.0,0.4782608695652174,1.0
0.1,3.0,0.4782608695652174,1.0
0.1,4.0,0.4782608695652174,1.0
0.1,5.0,0.4782608695652174,1.0
0.1,6.0,0.4782608695652174,1.0
0.1,7.0,0.4782608695652174,1.0
0.1,8.0,0.4782608695652174,1.0
0.1,9.0,0.4782608695652174,1.0
0.1,10.0,0.4782608695652174,1.0
0.1,11.0,0.5072463768115942,1.0
0.1,12.0,0.5217391304347826,1.0
0.1,13.0,0.5217391304347826,1.0
0.1,14.0,0.5217391304347826,1.0
0.1,15.0,0.5217391304347826,1.0
0.1,16.0,0.5217391304347826,1.0
0.1,17.0,0.5217391304347826,1.0
0.1,18.0,0.5217391304347826,1.0
0.1,19.0,0.5217391304347826,1.0
0.1,20.0,0.5217391304347826,1.0
0.1,21.0,0.5507246376811594,1.0
0.1,22.0,0.5652173913043478,1.0
0.1,23.0,0.5652173913043478,1.0
0.1,24.0,0.5652173913043478,1.0
0.1,25.0,0.5652173913043478,1.0
0.1,26.0,0.5652173913043478,1.0
0.1,27.0,0.5652173913043478,1.0
0.1,28.0,0.5652173913043478,1.0
0.1,29.0,0.5652173913043478,1.0
0.1,30.0,0.5652173913043478,1.0
0.1,31.0,0.5942028985507246,1.0
0.1,32.0,0.6086956521739131,1.0
0.1,33.0,0.6086956521739131,1.0
0.2,0.0,0.4057971014492754,1.0
0.2,1.0,0.42028985507246375,1.0
0.2,2.0,0.42028985507246375,1.0
0.2,3.0,0.43478260869565216,1.0
0.2,4.0,0.43478260869565216,1.0
0.2,5.0,0.4492753623188406,1.0
0.2,6.0,0.463768115942029,1.0
0.2,7.0,0.463768115942029,1.0
0.2,8.0,0.4782608695652174,1.0
0.2,9.0,0.4782608695652174,1.0
0.2,10.0,0.4927536231884058,1.0
0.2,11.0,0.5072463768115942,1.0
0.2,12.0,0.5072463768115942,1.0
0.2,13.0,0.5217391304347826,1.0
0.2,14.0,0.5217391304347826,1.0
0.2,15.0,0.5362318840579711,1.0
0.2,16.0,0.5507246376811594,1.0
0.2,17.0,0.5507246376811594,1.0
0.2,18.0,0.5652173913043478,1.0
0.2,19.0,0.5652173913043478,1.0
0.2,20.0,0.5797101449275363,1.0
0.2,21.0,0.5942028985507246,1.0
0.2,22.0,0.5942028985507246,1.0
0.2,23.0,0.6086956521739131,1.0
0.2,24.0,0.6086956521739131,1.0
0.2,25.0,0.6231884057971014,1.0
0.2,26.0,0.6376811594202898,1.0
0.2,27.0,0.6376811594202898,1.0
0.2,28.0,0.6521739130434783,1.0
0.2,29.0,0.6521739130434783,1.0
0.2,30.0,0.6666666666666666,1.0
0.2,31.0,0.6811594202898551,1.0
0.2,32.0,0.6811594202898551,1.0
0.2,33.0,0.6956521739130435,1.0
0.30000000000000004,0.0,0.36231884057971014,1.0
0.30000000000000004,1.0,0.37681159420289856,1.0
0.30000000000000004,2.0,0.37681159420289856,1.0
0.30000000000000004,3.0,0.391304347826087,1.0
0.30000000000000004,4.0,0.42028985507246375,1.0
0.30000000000000004,5.0,0.42028985507246375,1.0
0.30000000000000004,6.0,0.42028985507246375,1.0
0.30000000000000004,7.0,0.4492753623188406,1.0
