variable,value,equilibrium,area_percent
L,0.0,Implement / Accept,33.79
L,0.0,Implement / Fight,66.21000000000001
L,0.0,Withdraw / Accept,0.0
L,0.0,Withdraw / Fight,0.0
L,0.0,Absence of Pure Equilibrium,0.0
L,0.99,Implement / Accept,28.65
L,0.99,Implement / Fight,71.35000000000001
L,0.99,Withdraw / Accept,0.0
L,0.99,Withdraw / Fight,0.0
L,0.99,Absence of Pure Equilibrium,0.0
L,1.98,Implement / Accept,22.11
L,1.98,Implement / Fight,77.89
L,1.98,Withdraw / Accept,0.0
L,1.98,Withdraw / Fight,0.0
L,1.98,Absence of Pure Equilibrium,0.0
L,2.9699999999999998,Implement / Accept,12.120000000000001
L,2.9699999999999998,Implement / Fight,85.7
L,2.9699999999999998,Withdraw / Accept,0.0
L,2.9699999999999998,Withdraw / Fight,0.0
L,2.9699999999999998,Absence of Pure Equilibrium,2.18
L,3.96,Implement / Accept,5.83
L,3.96,Implement / Fight,90.64
L,3.96,Withdraw / Accept,0.0
L,3.96,Withdraw / Fight,0.0
L,3.96,Absence of Pure Equilibrium,3.53
L,4.95,Implement / Accept,4.2700000000000005
L,4.95,Implement / Fight,92.2
L,4.95,Withdraw / Accept,0.0
L,4.95,Withdraw / Fight,0.0
L,4.95,Absence of Pure Equilibrium,3.53
L,5.9399999999999995,Implement / Accept,3.39
L,5.9399999999999995,Implement / Fight,93.08
L,5.9399999999999995,Withdraw / Accept,0.0
L,5.9399999999999995,Withdraw / Fight,0.0
L,5.9399999999999995,Absence of Pure Equilibrium,3.53
L,6.93,Implement / Accept,2.83
L,6.93,Implement / Fight,93.64
L,6.93,Withdraw / Accept,0.0
L,6.93,Withdraw / Fight,0.0
L,6.93,Absence of Pure Equilibrium,3.53
L,7.92,Implement / Accept,2.41
L,7.92,Implement / Fight,94.06
L,7.92,Withdraw / Accept,0.0
L,7.92,Withdraw / Fight,0.0
L,7.92,Absence of Pure Equilibrium,3.53
L,8.91,Implement / Accept,2.13
L,8.91,Implement / Fight,94.34
L,8.91,Withdraw / Accept,0.0
L,8.91,Withdraw / Fight,0.0
L,8.91,Absence of Pure Equilibrium,3.53
L,9.9,Implement / Accept,1.8900000000000001
L,9.9,Implement / Fight,94.58
L,9.9,Withdraw / Accept,0.0
L,9.9,Withdraw / Fight,0.0
L,9.9,Absence of Pure Equilibrium,3.53
L,10.89,Implement / Accept,1.71
L,10.89,Implement / Fight,94.76
L,10.89,Withdraw / Accept,0.0
L,10.89,Withdraw / Fight,0.0
L,10.89,Absence of Pure Equilibrium,3.53
L,11.879999999999999,Implement / Accept,1.5699999999999998
L,11.879999999999999,Implement / Fight,94.89999999999999
L,11.879999999999999,Withdraw / Accept,0.0
L,11.879999999999999,Withdraw / Fight,0.0
L,11.879999999999999,Absence of Pure Equilibrium,3.53
L,12.87,Implement / Accept,1.44
L,12.87,Implement / Fight,95.03
L,12.87,Withdraw / Accept,0.0
L,12.87,Withdraw / Fight,0.0
L,12.87,Absence of Pure Equilibrium,3.53
L,13.86,Implement / Accept,1.3299999999999998
L,13.86,Implement / Fight,95.14
L,13.86,Withdraw / Accept,0.0
L,13.86,Withdraw / Fight,0.0
L,13.86,Absence of Pure Equilibrium,3.53
L,14.85,Implement / Accept,1.24
L,14.85,Implement / Fight,95.23
L,14.85,Withdraw / Accept,0.0
L,14.85,Withdraw / Fight,0.0
L,14.85,Absence of Pure Equilibrium,3.53
L,15.84,Implement / Accept,1.16
L,15.84,Implement / Fight,95.30999999999999
L,15.84,Withdraw / Accept,0.0
L,15.84,Withdraw / Fight,0.0
L,15.84,Absence of Pure Equilibrium,3.53
L,16.83,Implement / Accept,1.0999999999999999
L,16.83,Implement / Fight,95.37
L,16.83,Withdraw / Accept,0.0
L,16.83,Withdraw / Fight,0.0
L,16.83,Absence of Pure Equilibrium,3.53
L,17.82,Implement / Accept,1.02
L,17.82,Implement / Fight,95.45
L,17.82,Withdraw / Accept,0.0
L,17.82,Withdraw / Fight,0.0
L,17.82,Absence of Pure Equilibrium,3.53
L,18.81,Implement / Accept,0.97
L,18.81,Implement / Fight,95.5
L,18.81,Withdraw / Accept,0.0
L,18.81,Withdraw / Fight,0.0
L,18.81,Absence of Pure Equilibrium,3.53
L,19.8,Implement / Accept,0.9400000000000001
L,19.8,Implement / Fight,95.53
L,19.8,Withdraw / Accept,0.0
L,19.8,Withdraw / Fight,0.0
L,19.8,Absence of Pure Equilibrium,3.53
