Ca,Cs,equilibrium
0.0,0.0,Implement / Fight
0.0,1.0101010101010102,Implement / Fight
0.0,2.0202020202020203,Implement / Fight
0.0,3.0303030303030303,Implement / Fight
0.0,4.040404040404041,Implement / Fight
0.0,5.050505050505051,Implement / Fight
0.0,6.0606060606060606,Implement / Fight
0.0,7.070707070707071,Implement / Fight
0.0,8.080808080808081,Implement / Fight
0.0,9.090909090909092,Implement / Fight
0.0,10.101010101010102,Implement / Fight
0.0,11.111111111111112,Implement / Fight
0.0,12.121212121212121,Implement / Fight
0.0,13.131313131313131,Implement / Fight
0.0,14.141414141414142,Implement / Fight
0.0,15.151515151515152,Implement / Fight
0.0,16.161616161616163,Implement / Fight
0.0,17.171717171717173,Implement / Fight
0.0,18.181818181818183,Implement / Fight
0.0,19.191919191919194,Implement / Fight
0.0,20.202020202020204,Implement / Fight
0.0,21.212121212121215,Implement / Fight
0.0,22.222222222222225,Implement / Fight
0.0,23.232323232323235,Implement / Fight
0.0,24.242424242424242,Implement / Fight
0.0,25.252525252525253,Implement / Fight
0.0,26.262626262626263,Implement / Fight
0.0,27.272727272727273,Implement / Fight
0.0,28.282828282828284,Implement / Fight
0.0,29.292929292929294,Implement / Fight
0.0,30.303030303030305,Implement / Fight
0.0,31.313131313131315,Implement / Fight
0.0,32.323232323232325,Implement / Fight
0.0,33.333333333333336,Implement / Fight
0.0,34.343434343434346,Implement / Fight
0.0,35.35353535353536,Implement / Fight
0.0,36.36363636363637,Implement / Fight
0.0,37.37373737373738,Implement / Fight
0.0,38.38383838383839,Withdraw / Fight
0.0,39.3939393939394,Withdraw / Fight
0.0,40.40404040404041,Withdraw / Fight
0.0,41.41414141414142,Withdraw / Fight
0.0,42.42424242424243,Withdraw / Fight
0.0,43.43434343434344,Withdraw / Fight
0.0,44.44444444444445,Withdraw / Fight
0.0,45.45454545454546,Withdraw / Fight
0.0,46.46464646464647,Withdraw / Fight
0.0,47.47474747474748,Withdraw / Fight
0.0,48.484848484848484,Withdraw / Fight
0.0,49.494949494949495,Withdraw / Fight
0.0,50.505050505050505,Withdraw / Fight
0.0,51.515151515151516,Withdraw / Fight
0.0,52.525252525252526,Withdraw / Fight
0.0,53.535353535353536,Withdraw / Fight
0.0,54.54545454545455,Withdraw / Fight
0.0,55.55555555555556,Withdraw / Fight
0.0,56.56565656565657,Withdraw / Fight
0.0,57.57575757575758,Withdraw / Fight
0.0,58.58585858585859,Withdraw / Fight
0.0,59.5959595959596,Withdraw / Fight
0.0,60.60606060606061,Withdraw / Fight
0.0,61.61616161616162,Withdraw / Fight
0.0,62.62626262626263,Withdraw / Fight
0.0,63.63636363636364,Withdraw / Fight
0.0,64.64646464646465,Withdraw / Fight
0.0,65.65656565656566,Withdraw / Fight
0.0,66.66666666666667,Withdraw / Fight
0.0,67.67676767676768,Withdraw / Fight
0.0,68.68686868686869,Withdraw / Fight
0.0,69.6969696969697,Withdraw / Fight
0.0,70.70707070707071,Withdraw / Fight
0.0,71.71717171717172,Withdraw / Fight
0.0,72.72727272727273,Withdraw / Fight
0.0,73.73737373737374,Withdraw / Fight
0.0,74.74747474747475,Withdraw / Fight
0.0,75.75757575757576,Withdraw / Fight
0.0,76.76767676767678,Withdraw / Fight
0.0,77.77777777777779,Withdraw / Fight
0.0,78.7878787878788,Withdraw / Fight
0.0,79.7979797979798,Withdraw / Fight
0.0,80.80808080808082,Withdraw / Fight
0.0,81.81818181818183,Withdraw / Fight
0.0,82.82828282828284,Withdraw / Fight
0.0,83.83838383838385,Withdraw / Fight
0.0,84.84848484848486,Withdraw / Fight
0.0,85.85858585858587,Withdraw / Fight
0.0,86.86868686868688,Withdraw / Fight
0.0,87.87878787878789,Withdraw / Fight
0.0,88.8888888888889,Withdraw / Fight
0.0,89.89898989898991,Withdraw / Fight
0.0,90.90909090909092,Withdraw / Fight
0.0,91.91919191919193,Withdraw / Fight
0.0,92.92929292929294,Withdraw / Fight
0.0,93.93939393939395,Withdraw / Fight
0.0,94.94949494949496,Withdraw / Fight
0.0,95.95959595959597,Withdraw / Fight
0.0,96.96969696969697,Withdraw / Fight
0.0,97.97979797979798,Withdraw / Fight
0.0,98.98989898989899,Withdraw / Fight
0.0,100.0,Withdraw / Fight
0.2222222222222222,0.0,Implement / Fight
0.2222222222222222,1.0101010101010102,Implement / Fight
0.2222222222222222,2.0202020202020203,Implement / Fight
0.2222222222222222,3.0303030303030303,Implement / Fight
0.2222222222222222,4.040404040404041,Implement / Fight
0.2222222222222222,5.050505050505051,Implement / Fight
0.2222222222222222,6.0606060606060606,Implement / Fight
0.2222222222222222,7.070707070707071,Implement / Fight
0.2222222222222222,8.080808080808081,Implement / Fight
0.2222222222222222,9.090909090909092,Implement / Fight
0.2222222222222222,10.101010101010102,Implement / Fight
0.2222222222222222,11.111111111111112,Implement / Fight
0.2222222222222222,12.121212121212121,Implement / Fight
0.2222222222222222,13.131313131313131,Implement / Fight
0.2222222222222222,14.141414141414142,Implement / Fight
0.2222222222222222,15.151515151515152,Implement / Fight
0.2222222222222222,16.161616161616163,Implement / Fight
0.2222222222222222,17.171717171717173,Implement / Fight
0.2222222222222222,18.181818181818183,Implement / Fight
0.2222222222222222,19.191919191919194,Implement / Fight
0.2222222222222222,20.202020202020204,Implement / Fight
0.2222222222222222,21.212121212121215,Implement / Fight
0.2222222222222222,22.222222222222225,Implement / Fight
0.2222222222222222,23.232323232323235,Implement / Fight
0.2222222222222222,24.242424242424242,Implement / Fight
0.2222222222222222,25.252525252525253,Implement / Fight
0.2222222222222222,26.262626262626263,Implement / Fight
0.2222222222222222,27.272727272727273,Implement / Fight
0.2222222222222222,28.282828282828284,Implement / Fight
0.2222222222222222,29.292929292929294,Implement / Fight
0.2222222222222222,30.303030303030305,Implement / Fight
0.2222222222222222,31.313131313131315,Implement / Fight
0.2222222222222222,32.323232323232325,Implement / Fight
0.2222222222222222,33.333333333333336,Implement / Fight
0.2222222222222222,34.343434343434346,Implement / Fight
0.2222222222222222,35.35353535353536,Implement / Fight
0.2222222222222222,36.36363636363637,Implement / Fight
0.2222222222222222,37.37373737373738,Implement / Fight
0.2222222222222222,38.38383838383839,Absence of Pure Equilibrium
0.2222222222222222,39.3939393939394,Absence of Pure Equilibrium
0.2222222222222222,40.40404040404041,Absence of Pure Equilibrium
0.2222222222222222,41.41414141414142,Absence of Pure Equilibrium
0.2222222222222222,42.42424242424243,Absence of Pure Equilibrium
0.2222222222222222,43.43434343434344,Absence of Pure Equilibrium
0.2222222222222222,44.44444444444445,Absence of Pure Equilibrium
0.2222222222222222,45.45454545454546,Absence of Pure Equilibrium
0.2222222222222222,46.46464646464647,Absence of Pure Equilibrium
0.2222222222222222,47.47474747474748,Absence of Pure Equilibrium
0.2222222222222222,48.484848484848484,Absence of Pure Equilibrium
