variable,value,equilibrium,area_percent,variation_percent
Ca,1.5,Implement / Accept,4.62,-50
Ca,1.5,Implement / Fight,92.38,-50
Ca,1.5,Withdraw / Accept,0.0,-50
Ca,1.5,Withdraw / Fight,0.0,-50
Ca,1.5,Absence of Pure Equilibrium,3.0,-50
Ca,1.6500000000000001,Implement / Accept,5.64,-45
Ca,1.6500000000000001,Implement / Fight,91.36,-45
Ca,1.6500000000000001,Withdraw / Accept,0.0,-45
Ca,1.6500000000000001,Withdraw / Fight,0.0,-45
Ca,1.6500000000000001,Absence of Pure Equilibrium,3.0,-45
Ca,1.7999999999999998,Implement / Accept,6.77,-40
Ca,1.7999999999999998,Implement / Fight,90.23,-40
Ca,1.7999999999999998,Withdraw / Accept,0.0,-40
Ca,1.7999999999999998,Withdraw / Fight,0.0,-40
Ca,1.7999999999999998,Absence of Pure Equilibrium,3.0,-40
Ca,1.9500000000000002,Implement / Accept,8.06,-35
Ca,1.9500000000000002,Implement / Fight,88.94,-35
Ca,1.9500000000000002,Withdraw / Accept,0.0,-35
Ca,1.9500000000000002,Withdraw / Fight,0.0,-35
Ca,1.9500000000000002,Absence of Pure Equilibrium,3.0,-35
Ca,2.0999999999999996,Implement / Accept,9.45,-30
Ca,2.0999999999999996,Implement / Fight,87.55,-30
Ca,2.0999999999999996,Withdraw / Accept,0.0,-30
Ca,2.0999999999999996,Withdraw / Fight,0.0,-30
Ca,2.0999999999999996,Absence of Pure Equilibrium,3.0,-30
Ca,2.25,Implement / Accept,10.95,-25
Ca,2.25,Implement / Fight,86.05000000000001,-25
Ca,2.25,Withdraw / Accept,0.0,-25
Ca,2.25,Withdraw / Fight,0.0,-25
Ca,2.25,Absence of Pure Equilibrium,3.0,-25
Ca,2.4000000000000004,Implement / Accept,12.68,-20
Ca,2.4000000000000004,Implement / Fight,84.32,-20
Ca,2.4000000000000004,Withdraw / Accept,0.0,-20
Ca,2.4000000000000004,Withdraw / Fight,0.0,-20
Ca,2.4000000000000004,Absence of Pure Equilibrium,3.0,-20
Ca,2.55,Implement / Accept,14.549999999999999,-15
Ca,2.55,Implement / Fight,82.45,-15
Ca,2.55,Withdraw / Accept,0.0,-15
Ca,2.55,Withdraw / Fight,0.0,-15
Ca,2.55,Absence of Pure Equilibrium,3.0,-15
Ca,2.7,Implement / Accept,16.57,-10
Ca,2.7,Implement / Fight,80.43,-10
Ca,2.7,Withdraw / Accept,0.0,-10
Ca,2.7,Withdraw / Fight,0.0,-10
Ca,2.7,Absence of Pure Equilibrium,3.0,-10
Ca,2.8499999999999996,Implement / Accept,18.84,-5
Ca,2.8499999999999996,Implement / Fight,78.16,-5
Ca,2.8499999999999996,Withdraw / Accept,0.0,-5
